NestID,Location,Build,Eggs,Nestlings,AtLeast1Fledgling,Fledging,Trash,NonOrganicMaterialProportion,Treatment,ParasiteAbundance
FUL12,OG,1,1,0,0,NA,NA,NA,NIS,NA
FUL01,OG,1,1,1,0,0,0,0,NP,0
FUL02,OG,1,1,1,0,0,0,0,P,15
FUL03,OG,1,1,0,0,NA,0,0,NIS,0
FUL04,OG,1,1,0,0,NA,0,0,NIS,0
FUL05,OG,1,1,1,1,0.667,0,0,P,45
FUL06,OG,1,1,0,0,NA,0,0,NIS,0
FUL07,OG,1,1,1,0,0,0,0,NP,0
FUL08,OG,1,1,0,0,NA,0,0,NIS,0
FUL09,OG,1,1,1,0,0,0,0,P,0
FUL10,OG,1,1,0,0,NA,0,0,NIS,0
FUL11,OG,1,1,1,1,1,NA,NA,NIS,NA
FULa,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULb,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULc,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULd,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULe,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULf,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULg,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULh,OG,1,0,0,0,NA,NA,NA,NIS,NA
FULi,OG,1,0,0,0,NA,NA,NA,NIS,NA
FUL01,PB,1,1,1,1,0.75,1,0.1875,NIS,0
FUL02a,PB,1,1,0,0,NA,NA,NA,NIS,NA
FUL02b,PB,1,1,0,0,NA,1,0.133333333,NIS,0
FUL06,PB,1,1,0,0,NA,1,0.142857143,NIS,0
FUL12,PB,1,1,0,0,NA,NA,NA,NIS,NA
FUL21,PB,1,1,0,0,NA,1,0.090909091,NIS,0
FUL23,PB,1,1,0,0,NA,1,0.1,NIS,NA
FUL24,PB,1,1,0,0,NA,NA,NA,NIS,NA
FULx,PB,1,0,0,0,NA,NA,NA,NIS,6
FULy,PB,1,0,0,0,NA,NA,NA,NIS,7
FULz,PB,1,0,0,0,NA,NA,NA,NIS,NA
FUL04,PB,1,1,1,1,1,1,0.125,NP,6
FUL05,PB,1,1,1,1,0.667,1,0.227272727,NP,3
FUL11,PB,1,1,1,1,1,1,0.093023256,NP,0
FUL13,PB,1,1,1,1,0.5,1,0.03125,NP,0
FUL16,PB,1,1,1,1,1,1,0.055555556,NP,1
FUL17,PB,1,1,1,1,0.75,1,0.071428571,NP,0
FUL20,PB,1,1,1,1,1,1,0.064516129,NP,0
FUL03,PB,1,1,1,1,1,1,0.040816327,P,12
FUL07,PB,1,1,1,1,0.667,1,0.111111111,P,5
FUL08,PB,1,1,1,1,1,1,0.037037037,P,0
FUL09,PB,1,1,1,1,1,1,0.19047619,P,0
FUL10,PB,1,1,1,0,0,1,0.090909091,P,42
FUL14,PB,1,1,1,1,1,1,0.114285714,P,0
FUL18,PB,1,1,1,1,0.667,1,0.186046512,P,37
FUL19,PB,1,1,1,0,0,1,0.035714286,P,46
FUL22,PB,1,1,1,1,1,1,0.060606061,P,47
